mes,colegio,articulo,talla,inventario,pronostico,stock_minimo,orden_produccion,producto_colegio
8,bordados,grande,12,0,2,1,3,grande_bordados
8,bordados,mediano,12,0,3,1,4,mediano_bordados
8,bordados,mediano,6,0,6,2,8,mediano_bordados
8,bordados,pequeno,12,0,14,3,17,pequeno_bordados
8,bordados,pequeno,14,0,14,3,17,pequeno_bordados
8,colsafa,bombacho,L,2,2,1,1,bombacho_colsafa
8,colsafa,bombacho,S,2,3,1,2,bombacho_colsafa
8,colsafa,camiseta externa,10,0,1,1,2,camiseta externa_colsafa
8,colsafa,camiseta externa,12,0,1,1,2,camiseta externa_colsafa
8,colsafa,camiseta externa,14,0,5,1,6,camiseta externa_colsafa
8,colsafa,camiseta externa,L,0,2,1,3,camiseta externa_colsafa
8,colsafa,camiseta externa,M,0,3,1,4,camiseta externa_colsafa
8,colsafa,camiseta externa,S,0,2,1,3,camiseta externa_colsafa
8,colsafa,camiseta interna,14,0,1,1,2,camiseta interna_colsafa
8,colsafa,camiseta interna,16,0,2,1,3,camiseta interna_colsafa
8,colsafa,pantalon,10,0,2,1,3,pantalon_colsafa
8,colsafa,pantalon,28,0,1,1,2,pantalon_colsafa
8,colsafa,pantalon,6,0,1,1,2,pantalon_colsafa
8,colsafa,pantalon,8,0,1,1,2,pantalon_colsafa
8,colsafa,pantaloneta,14,0,1,1,2,pantaloneta_colsafa
8,colsafa,pantaloneta,M,0,1,1,2,pantaloneta_colsafa
8,conalco,bombacho,16,6,6,6,6,bombacho_conalco
8,conalco,bombacho,L,4,3,3,2,bombacho_conalco
8,conalco,bombacho,S,14,8,7,1,bombacho_conalco
8,conalco,camiseta fisica,16,2,4,4,6,camiseta fisica_conalco
8,conalco,pantalon,10,0,1,3,4,pantalon_conalco
8,conalco,pantalon,12,0,3,2,5,pantalon_conalco
8,conalco,pantalon,14,0,3,1,4,pantalon_conalco
8,conalco,pantalon,16,0,2,3,5,pantalon_conalco
8,conalco,pantalon,28,1,2,1,2,pantalon_conalco
8,conalco,pantalon,32,1,2,1,2,pantalon_conalco
8,gimnasio plaza feliz,blusa,16,0,1,1,2,blusa_gimnasio plaza feliz
8,gimnasio plaza feliz,bombacho,6,1,1,1,1,bombacho_gimnasio plaza feliz
8,gimnasio plaza feliz,camiseta fisica,8,1,1,1,1,camiseta fisica_gimnasio plaza feliz
8,gimnasio plaza feliz,camiseta fisica,S,0,1,1,2,camiseta fisica_gimnasio plaza feliz
8,gimnasio plaza feliz,guayabera,14,1,1,1,1,guayabera_gimnasio plaza feliz
8,gimnasio vallegrande,camiseta de fisica externa,8,0,1,1,2,camiseta de fisica externa_gimnasio vallegrande
8,gimnasio vallegrande,camiseta de fisica interna,12,0,1,1,2,camiseta de fisica interna_gimnasio vallegrande
8,gimnasio vallegrande,pantaloneta,16,3,1,3,1,pantaloneta_gimnasio vallegrande
8,hogar,bombacho fisica,4,0,4,2,6,bombacho fisica_hogar
8,hogar,camiseta fisica,4,5,5,2,2,camiseta fisica_hogar
8,hogar,camiseta fisica,6,2,3,1,2,camiseta fisica_hogar
8,la inmaculada,blusa,14,0,4,2,6,blusa_la inmaculada
8,la inmaculada,blusa,16,3,3,1,1,blusa_la inmaculada
8,la inmaculada,blusa,S,1,1,1,1,blusa_la inmaculada
8,la inmaculada,camiseta fisica,10,5,5,2,2,camiseta fisica_la inmaculada
8,liceo pupo jimenez,bermuda,2,0,1,1,2,bermuda_liceo pupo jimenez
8,liceo pupo jimenez,bombacho,12,0,3,4,7,bombacho_liceo pupo jimenez
8,liceo pupo jimenez,bombacho,8,0,2,5,7,bombacho_liceo pupo jimenez
8,liceo pupo jimenez,bombacho,M,1,1,3,3,bombacho_liceo pupo jimenez
8,liceo pupo jimenez,camiseta diario,10,5,3,3,1,camiseta diario_liceo pupo jimenez
8,liceo pupo jimenez,camiseta fisica,12,6,2,7,3,camiseta fisica_liceo pupo jimenez
8,liceo pupo jimenez,falda,S,0,1,1,2,falda_liceo pupo jimenez
8,liceo pupo jimenez,medias,12,0,6,5,11,medias_liceo pupo jimenez
8,liceo pupo jimenez,medias,6,0,2,1,3,medias_liceo pupo jimenez
8,liceo pupo jimenez,medias,8,0,4,2,6,medias_liceo pupo jimenez
8,liceo pupo jimenez,pantalon,10,0,1,1,2,pantalon_liceo pupo jimenez
8,liceo pupo jimenez,pantalon,12,0,4,1,5,pantalon_liceo pupo jimenez
8,liceo pupo jimenez,pantalon,14,0,1,1,2,pantalon_liceo pupo jimenez
8,liceo pupo jimenez,pantalon,34,0,1,1,2,pantalon_liceo pupo jimenez
8,liceo universitario,bombacho,16,0,2,4,6,bombacho_liceo universitario
8,liceo universitario,bombacho,S,2,3,1,2,bombacho_liceo universitario
8,liceo universitario,camiseta fisica,10,3,1,7,5,camiseta fisica_liceo universitario
8,liceo universitario,camiseta fisica,S,0,2,5,7,camiseta fisica_liceo universitario
8,liceo universitario,pantalon,16,2,2,1,1,pantalon_liceo universitario
